FileName,Label,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7
Inputs/Traffic signs/Segmented\blue_sign circle 1.png,0,1,0.051976,0.000952917,0.000369809,1.74424e-08,2.65765e-05,0
Inputs/Traffic signs/Segmented\blue_sign circle 10.png,0,1,7.28947e-05,9.67676e-05,1.44656e-06,2.66073e-12,2.39489e-09,0
Inputs/Traffic signs/Segmented\blue_sign circle 11.png,0,1,1.99655e-05,1.2159e-07,1.29053e-12,4.50818e-17,0,4.50819e-17
Inputs/Traffic signs/Segmented\blue_sign circle 12.png,0,1,1.31048e-05,9.98761e-07,6.37633e-11,0,2.08799e-15,9.86766e-20
Inputs/Traffic signs/Segmented\blue_sign circle 13.png,0,1,0.0148993,0.000740461,3.30002e-06,5.83907e-08,0,5.83941e-08
Inputs/Traffic signs/Segmented\blue_sign circle 14.png,0,1,0.0131855,0.00163194,0.000126494,9.21917e-09,5.9226e-06,0
Inputs/Traffic signs/Segmented\blue_sign circle 15.png,0,1,0.000350043,1.53764e-06,6.74126e-08,4.50583e-10,0,4.50587e-10
Inputs/Traffic signs/Segmented\blue_sign circle 16.png,0,1,0.000482364,3.96744e-06,4.56675e-08,4.01524e-10,0,4.01528e-10
Inputs/Traffic signs/Segmented\blue_sign circle 17.png,0,1,0.000838276,1.13009e-05,1.08929e-08,1.08855e-10,0,1.08856e-10
Inputs/Traffic signs/Segmented\blue_sign circle 18.png,0,1,0.00154249,0.00138792,5.08151e-05,4.82496e-07,0,4.85604e-07
Inputs/Traffic signs/Segmented\blue_sign circle 19.png,0,1,5.98309e-05,8.08258e-06,2.07593e-09,5.3829e-17,2.29827e-12,0
Inputs/Traffic signs/Segmented\blue_sign circle 2.png,0,1,2.05702e-05,7.58059e-07,5.10698e-11,7.56135e-14,0,7.56136e-14
Inputs/Traffic signs/Segmented\blue_sign circle 20.png,0,1,0.151381,0.00590505,0.000658069,0.000108366,0,0.000108579
Inputs/Traffic signs/Segmented\blue_sign circle 21.png,0,1,9.68149e-05,3.49703e-05,4.9426e-08,2.39974e-15,1.74593e-10,0
Inputs/Traffic signs/Segmented\blue_sign circle 22.png,0,1,0.00518354,0.000653802,3.94783e-05,1.1251e-06,0,1.12612e-06
Inputs/Traffic signs/Segmented\blue_sign circle 23.png,0,1,9.74684e-05,5.06113e-05,1.07803e-06,0,3.61202e-09,5.22004e-13
Inputs/Traffic signs/Segmented\blue_sign circle 24.png,0,1,0.000306418,3.61359e-06,8.79991e-08,0,4.78785e-10,6.02078e-15
Inputs/Traffic signs/Segmented\blue_sign circle 25.png,0,1,0.00825546,0.00144963,0.000324194,4.22187e-08,1.19562e-05,0
Inputs/Traffic signs/Segmented\blue_sign circle 26.png,0,1,0.00356235,1.31503e-06,3.07006e-09,2.55119e-11,0,2.55119e-11
Inputs/Traffic signs/Segmented\blue_sign circle 3.png,0,1,1.97746e-05,2.88323e-07,1.22139e-11,8.53888e-15,0,8.53888e-15
Inputs/Traffic signs/Segmented\blue_sign circle 4.png,0,1,7.89027e-05,1.39921e-08,1.92024e-12,6.302e-23,6.40792e-15,0
Inputs/Traffic signs/Segmented\blue_sign circle 5.png,0,1,0.0027899,0.000313239,1.22618e-05,3.03208e-11,2.01032e-07,0
Inputs/Traffic signs/Segmented\blue_sign circle 6.png,0,1,0.00365894,1.30866e-05,4.43552e-08,4.60035e-15,1.06364e-09,0
Inputs/Traffic signs/Segmented\blue_sign circle 7.png,0,1,0.00443255,1.19848e-06,7.61472e-09,1.6736e-10,0,1.6736e-10
Inputs/Traffic signs/Segmented\blue_sign circle 8.png,0,1,0.0470935,0.00266871,0.000667143,1.27439e-07,6.3799e-05,0
Inputs/Traffic signs/Segmented\blue_sign circle 9.png,0,1,0.000367607,8.0965e-06,1.196e-07,2.32821e-10,0,2.32797e-10
Inputs/Traffic signs/Segmented\blue_sign rectangle 27.png,0,1,0.000162639,5.13738e-06,1.43073e-08,8.75995e-12,0,8.75969e-12
Inputs/Traffic signs/Segmented\blue_sign rectangle 28.png,0,1,0.00099488,7.09777e-05,9.86324e-06,0,8.62034e-08,5.24407e-11
Inputs/Traffic signs/Segmented\red_sign circle 1.png,1,1,0.000209374,4.0822e-05,5.32446e-06,1.98699e-08,0,1.98605e-08
Inputs/Traffic signs/Segmented\red_sign circle 10.png,1,1,0.000520687,3.08347e-05,7.14948e-06,6.56125e-08,0,6.56303e-08
Inputs/Traffic signs/Segmented\red_sign circle 11.png,1,1,0.00106691,1.40358e-07,3.81501e-10,4.15228e-19,4.78835e-12,0
Inputs/Traffic signs/Segmented\red_sign circle 12.png,1,1,0.000422776,9.90191e-07,6.3992e-10,3.32567e-18,4.7198e-12,0
Inputs/Traffic signs/Segmented\red_sign circle 13.png,1,1,0.00792515,8.39435e-06,1.20299e-07,2.76778e-14,3.19273e-09,0
Inputs/Traffic signs/Segmented\red_sign circle 14.png,1,1,0.000688424,3.41112e-09,7.0514e-09,7.79364e-18,1.11479e-11,0
Inputs/Traffic signs/Segmented\red_sign circle 15.png,1,1,7.46855e-06,3.39277e-07,1.46912e-06,0,1.40833e-09,1.54056e-13
Inputs/Traffic signs/Segmented\red_sign circle 16.png,1,1,0.0014216,3.70332e-06,6.79339e-07,0,4.63233e-09,2.45197e-13
Inputs/Traffic signs/Segmented\red_sign circle 17.png,1,1,0.000265407,6.33708e-07,3.40676e-10,2.09363e-12,0,2.09363e-12
Inputs/Traffic signs/Segmented\red_sign circle 18.png,1,1,0.000129867,3.3041e-06,9.41613e-08,2.68928e-11,0,2.68904e-11
Inputs/Traffic signs/Segmented\red_sign circle 19.png,1,1,1.97824e-05,2.662e-07,1.2236e-10,0,8.48991e-14,1.29721e-19
Inputs/Traffic signs/Segmented\red_sign circle 2.png,1,1,4.46497e-07,8.38908e-07,4.42033e-10,3.44644e-19,1.17419e-13,0
Inputs/Traffic signs/Segmented\red_sign circle 20.png,1,1,0.0019885,2.13304e-06,7.58996e-09,2.18759e-16,8.30443e-11,0
Inputs/Traffic signs/Segmented\red_sign circle 21.png,1,1,0.00632212,2.23526e-05,1.74846e-07,5.33755e-09,0,5.33762e-09
Inputs/Traffic signs/Segmented\red_sign circle 22.png,1,1,6.59588e-06,1.35171e-05,2.93587e-10,2.83712e-18,1.58584e-13,0
